time_s,fz_N,velocity_mps,state,surface
22.25,-6.2648,0.0,CONTACT,MIR
22.3,-5.756,0.1919,CONTACT,MIR
22.35,-6.0452,0.0,CONTACT,MIR
22.4,-5.756,0.0,CONTACT,MIR
22.45,-5.9022,0.0,CONTACT,MIR
22.5,-6.0051,0.1998,CONTACT,MIR
22.55,-5.9208,0.0,CONTACT,MIR
22.6,-5.6003,0.0,CONTACT,MIR
22.65,-5.5751,0.0,CONTACT,MIR
22.7,-5.9767,0.1992,CONTACT,MIR
22.75,-5.9956,0.0,CONTACT,MIR
22.8,-5.8124,0.0,CONTACT,MIR
22.85,-6.1967,0.0,CONTACT,MIR
22.9,-5.961,0.1987,CONTACT,MIR
22.95,-6.0342,0.0,CONTACT,MIR
23.0,-5.9662,0.0,CONTACT,MIR
23.05,-6.1957,0.0,CONTACT,MIR
23.1,-6.3469,0.0,CONTACT,MIR
23.15,-6.4436,0.1852,CONTACT,MIR
23.2,-6.213,0.0,CONTACT,MIR
23.25,-6.0813,0.0,CONTACT,MIR
23.3,-6.0482,0.0,CONTACT,MIR
23.35,-5.6021,0.0,CONTACT,MIR
23.4,-5.7683,0.1923,CONTACT,MIR
23.45,-6.1934,0.0,CONTACT,MIR
23.5,-5.9315,0.0,CONTACT,MIR
23.55,-6.0824,0.0,CONTACT,MIR
23.6,-6.0579,0.0,CONTACT,MIR
23.65,-5.9639,0.1988,CONTACT,MIR
23.7,-5.868,0.0,CONTACT,MIR
23.75,-6.0597,0.0,CONTACT,MIR
23.8,-5.7791,0.0,CONTACT,MIR
23.85,-6.2202,0.0,CONTACT,MIR
23.9,-5.9906,0.1997,CONTACT,MIR
23.95,-5.4756,0.0,CONTACT,MIR
24.0,-5.9505,0.0,CONTACT,MIR
24.05,-5.7085,0.0,CONTACT,MIR
24.1,-5.9768,0.0,CONTACT,MIR
24.15,-5.879,0.196,CONTACT,MIR
24.2,-6.0469,0.0,CONTACT,MIR
24.25,-6.0696,0.0,CONTACT,MIR
24.3,-6.1914,0.0,CONTACT,MIR
24.35,-5.9495,0.0,CONTACT,MIR
24.4,-6.2058,0.1931,CONTACT,MIR
24.45,-5.8839,0.0,CONTACT,MIR
24.5,-5.7999,0.0,CONTACT,MIR
24.55,-5.9437,0.0,CONTACT,MIR
24.6,-6.0742,0.0,CONTACT,MIR
24.65,-5.9262,0.1975,CONTACT,MIR
24.7,-6.0936,0.0,CONTACT,MIR
24.75,-5.8448,0.0,CONTACT,MIR
24.8,-6.3982,0.0,CONTACT,MIR
24.85,-6.099,0.0,CONTACT,MIR
24.9,-6.43,0.1857,CONTACT,MIR
24.95,-6.2963,0.0,CONTACT,MIR
25.0,-5.7245,0.0,CONTACT,MIR
25.05,-5.8182,0.0,CONTACT,MIR
25.1,-6.1412,0.0,CONTACT,MIR
25.15,-6.2978,0.1901,CONTACT,MIR
25.2,-6.579,0.0,CONTACT,MIR
25.25,-6.0948,0.0,CONTACT,MIR
25.3,-5.5021,0.0,CONTACT,MIR
25.35,-5.8992,0.0,CONTACT,MIR
25.4,-6.0981,0.1967,CONTACT,MIR
25.45,-5.8862,0.0,CONTACT,MIR
25.5,-6.2914,0.0,CONTACT,MIR
25.55,-6.0387,0.0,CONTACT,MIR
25.6,-5.9593,0.0,CONTACT,MIR
25.65,-5.9964,0.1999,CONTACT,MIR
25.7,-5.8142,0.0,CONTACT,MIR
25.75,-5.9034,0.0,CONTACT,MIR
25.8,-5.8387,0.0,CONTACT,MIR
25.85,-6.11,0.0,CONTACT,MIR
25.9,-5.7928,0.1931,CONTACT,MIR
25.95,-5.6682,0.0,CONTACT,MIR
26.0,-6.188,0.0,CONTACT,MIR
26.05,-6.1715,0.0,CONTACT,MIR
26.1,-5.7268,0.0,CONTACT,MIR
26.15,-6.0322,0.1989,CONTACT,MIR
26.2,-5.7217,0.0,CONTACT,MIR
26.25,-6.091,0.0,CONTACT,MIR
26.3,-5.7115,0.0,CONTACT,MIR
26.35,-5.9762,0.0,CONTACT,MIR
26.4,-5.9509,0.1984,CONTACT,MIR
26.45,-5.7115,0.0,CONTACT,MIR
26.5,-6.0968,0.0,CONTACT,MIR
26.55,-6.2127,0.0,CONTACT,MIR
26.6,-6.1142,0.0,CONTACT,MIR
26.65,-5.934,0.1978,CONTACT,MIR
26.7,-6.3348,0.0,CONTACT,MIR
26.75,-5.8942,0.0,CONTACT,MIR
26.8,-6.1294,0.0,CONTACT,MIR
26.85,-5.7921,0.0,CONTACT,MIR
26.9,-6.5005,0.1833,CONTACT,MIR
26.95,-6.153,0.0,CONTACT,MIR
27.0,-6.3329,0.0,CONTACT,MIR
27.05,-6.1609,0.0,CONTACT,MIR
27.1,-5.9461,0.0,CONTACT,MIR
27.15,-6.0315,0.199,CONTACT,MIR
27.2,-6.0213,0.0,CONTACT,MIR
27.25,-6.0025,0.0,CONTACT,MIR
27.3,-5.93,0.0,CONTACT,MIR
27.35,-6.1724,0.0,CONTACT,MIR
27.4,-5.8293,0.1943,CONTACT,MIR
27.45,-5.8399,0.0,CONTACT,MIR
27.5,-5.8954,0.0,CONTACT,MIR
27.55,-5.8611,0.0,CONTACT,MIR
27.6,-5.9132,0.1971,CONTACT,MIR
27.65,-5.585,0.0,CONTACT,MIR
27.7,-6.0095,0.0,CONTACT,MIR
27.75,-6.0535,0.0,CONTACT,MIR
27.8,-6.1428,0.1952,CONTACT,MIR
27.85,-6.2069,0.0,CONTACT,MIR
27.9,-6.2493,0.0,CONTACT,MIR
27.95,-6.1782,0.0,CONTACT,MIR
28.0,-6.0146,0.1995,CONTACT,MIR
28.05,-5.9076,0.0,CONTACT,MIR
28.1,-5.9642,0.0,CONTACT,MIR
28.15,-6.1276,0.0,CONTACT,MIR
28.2,-5.7944,0.1931,CONTACT,MIR
28.25,-5.8348,0.0,CONTACT,MIR
28.3,-6.0146,0.0,CONTACT,MIR
28.35,-6.1133,0.0,CONTACT,MIR
28.4,-5.873,0.1958,CONTACT,MIR
28.45,-5.9517,0.0,CONTACT,MIR
28.5,-6.2789,0.0,CONTACT,MIR
28.55,-6.0029,0.0,CONTACT,MIR
28.6,-5.9369,0.1979,CONTACT,MIR
28.65,-6.1624,0.0,CONTACT,MIR
28.7,-5.9445,0.0,CONTACT,MIR
28.75,-6.2734,0.0,CONTACT,MIR
28.8,-5.7152,0.1905,CONTACT,MIR
